ship_imo_number,co2_real,oof_xgboost,oof_red
8911073,1257.4768,1472.763671875,1600.5173489854897
8911748,15356.4194,10905.849609375,36905.206991473926
8912297,22861.6127,16552.958984375,13228.941047081778
8912302,22869.0973,16918.40625,13684.386423681952
8912326,6158.782,8361.1689453125,9370.52614839288
8913162,25459.2363,22279.92578125,18346.41191196205
8913423,35427.7163,30827.033203125,36936.37608579964
8913514,6415.5078,6690.34375,6625.26832371934
8914128,3966.83,6459.3681640625,5904.902931149622
8914130,3904.92,9516.1953125,8748.91307578022
8914312,1330.4632,2878.135986328125,3170.7561771503933
8916126,16906.7483,15717.208984375,20289.242474428836
8916229,752.8884,1658.694580078125,1219.8995481017755
8917546,4851.1664,4117.09326171875,3185.9663650061366
8917572,2653.6944,2907.25244140625,2948.3642339308944
8917584,1916.8529,2041.2454833984375,3209.001983773185
8917613,42641.6219,50786.43359375,47594.249284737
8917778,6314.4337,11974.693359375,12260.121633447478
8917883,11838.4658,29447.25390625,33032.94933288875
8917895,9794.2338,29767.564453125,29898.05820253743
